"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Touch%","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","Touch%/96","extreme1","extreme2","plotnames"
"Jozy","Altidore","Jozy Altidore",2015,"TOR",1875,"F",621,0.731,0.794,-38.8321466837078,-6.25316371718322,14.7243436088683,-1.84151982378855,0.0779089426408656,4750,31.7952,0.731078904991948,0.793610542163781,-1.98820591020584,-6.25316371718322,14.7243436088683,-1.84151982378855,0.0779089426408656,1783,967,"Altidore 2015"
"Andrew","Wenger","Andrew Wenger",2016,"HOU",2170,"Wing",622,0.633,0.697,-39.4522210545838,-6.34280081263405,15.4565051474405,1.5236040609137,0.086221274865057,190,27.5170506912442,0.633440514469453,0.696868522595794,-1.74535171485716,-6.34280081263405,15.4565051474405,1.5236040609137,0.086221274865057,345,248,"Wenger 2016"
"Danny","Hoesen","Danny Hoesen",2018,"SJE",2622,"F",577,0.692,0.76,-39.6396442316472,-6.86995567272916,16.3919419480242,-0.434636591478697,0.0588988724356723,518,21.1258581235698,0.691507798960139,0.76020735568743,-1.4513370885729,-6.86995567272916,16.3919419480242,-0.434636591478697,0.0588988724356723,1134,579,"Hoesen 2018"
"Daniel","Royer","Daniel Royer",2017,"NYRB",1952,"Wing",752,0.685,0.738,-39.676325712353,-5.27610714260013,14.3411745637152,2.90961165048544,0.0902225895279548,471.66667,36.9836065573771,0.684840425531915,0.737601496957916,-1.9512947071649,-5.27610714260013,14.3411745637152,2.90961165048544,0.0902225895279548,781,529,"Royer 2017"
"Teal","Bunbury","Teal Bunbury",2019,"NER",2334,"F",614,0.72,0.785,-39.7270199190825,-6.47019868388966,14.5863075040354,-2.89347285067873,0.0743128621395491,270.75,25.254498714653,0.719869706840391,0.784571693679287,-1.63401624345841,-6.47019868388966,14.5863075040354,-2.89347285067873,0.0743128621395491,1603,833,"Bunbury 2019"
"Gyasi","Zardes","Gyasi Zardes",2016,"LAG",1704,"F",554,0.673,0.745,-39.7880852669477,-7.18196484962955,13.1406204837637,-1.91923592493298,0.0795496529810892,472.5,31.2112676056338,0.673285198555957,0.745104847052252,-2.24158226856043,-7.18196484962955,13.1406204837637,-1.91923592493298,0.0795496529810892,893,459,"Zardes 2016"
"David","Villa","David Villa",2015,"NYC",2650,"F",876,0.715,0.76,-39.8841010220348,-4.55297956872544,15.2075338380166,0.958394568690096,0.0823345472023429,5610,31.7343396226415,0.714611872146119,0.760141667833373,-1.44485799928881,-4.55297956872544,15.2075338380166,0.958394568690096,0.0823345472023429,1132,780,"Villa 2015"
"Romain","Alessandrini","Romain Alessandrini",2017,"LAG",2574,"Wing",1115,0.635,0.671,-39.9582624053583,-3.5837006641577,18.2820561947398,0.425077683615819,0.113194058024462,1999.40064,41.5850815850816,0.634977578475336,0.670814585116913,-1.49028484495509,-3.5837006641577,18.2820561947398,0.425077683615819,0.113194058024462,221,255,"Alessandrini 2017"
"Kelyn","Rowe","Kelyn Rowe",2016,"NER",2937,"Wing",1270,0.694,0.726,-40.0345293357968,-3.15232514455093,19.8271644211763,2.53508503401361,0.0961143070790275,241,41.511746680286,0.694488188976378,0.726011440421887,-1.30858522854494,-3.15232514455093,19.8271644211763,2.53508503401361,0.0961143070790275,598,602,"Rowe 2016"
"Fernando","Aristeguieta","Fernando Aristeguieta",2015,"PHI",1326,"F",410,0.659,0.756,-40.0845378674567,-9.77671655303821,12.600990239257,-0.143962962962963,0.0921909850516157,350.004,29.683257918552,0.658536585365854,0.756303750896236,-2.9020479904041,-9.77671655303821,12.600990239257,-0.143962962962963,0.0921909850516157,1068,369,"Aristeguieta 2015"
